str(cost)+,+str(overCapacity)+,+str(Elapsed)+,+str(itt)+,+str(reset)+
2368,True,3.25099992752,7344,198
2413,True,1.93499994278,4059,184
2415,False,3.35500001907,6602,206
2434,True,5.13000011444,10735,203
2612,True,2.51600003242,6270,186
2459,True,2.23799991608,4919,185
3107,True,2.44799995422,6031,127
2453,True,3.02800011635,6518,181
2402,True,3.16199994087,6775,188
2560,True,2.91999983788,6689,171
2540,True,2.99500012398,6353,168
2431,False,2.78900003433,5372,197
2461,True,3.84599995613,8019,175
2391,True,3.52600002289,7508,174
2696,True,1.55000019073,3476,146
2528,True,2.17499995232,4891,167
2388,False,3.5720000267,7253,181
2435,True,2.33799982071,4850,183
2497,True,4.38800001144,8351,191
2611,True,5.21500015259,8902,153
2379,True,4.70700001717,8746,224
2475,True,3.28199982643,5883,169
2572,True,2.18099999428,4087,149
2463,True,3.94200015068,6939,181
2758,True,1.98699998856,3719,152
2378,True,3.86599993706,6453,180
2399,False,5.3630001545,8544,196
2432,True,5.507999897,9772,185
2731,True,2.44200015068,4641,180
2428,True,3.52399992943,5918,190
2486,True,3.30200004578,5799,180
2496,True,3.6740000248,6296,171
2470,True,3.54299998283,6256,198
2559,True,2.72000002861,4909,181
2398,False,3.52800011635,5711,198
2424,True,5.37399983406,9109,181
2479,True,4.57899999619,8752,135
2371,True,5.53500008583,8826,196
2386,True,6.24900007248,9009,187
2412,True,4.15299987793,6889,189
2414,True,4.57699990273,7689,205
2431,True,4.13100004196,6704,153
2480,True,2.53800010681,4249,185
2448,True,3.77700018883,5982,181
2530,True,3.77500009537,6794,182
2484,True,3.91199994087,6708,178
2550,True,2.03999996185,3918,161
2374,True,4.77399992943,7763,181
2415,True,4.05100011826,6982,221
2587,True,1.78100013733,3003,163
2704,True,3.45899987221,6211,152
2455,True,4.05799984932,6635,168
2383,True,4.11699986458,7178,192
2450,True,3.28199982643,5347,192
2430,True,5.0759999752,8146,188
2546,True,3.61500000954,6028,181
2398,True,3.84700012207,6348,196
2439,True,6.08000016212,10419,190
2447,True,4.11599993706,6786,190
2366,True,5.83400011063,7815,206
2590,True,4.08200001717,6086,148
2417,True,4.78800010681,6075,206
2382,True,4.6779999733,5917,213
2398,True,4.34800004959,6873,192
2532,True,3.02100014687,4492,185
2402,True,4.99799990654,7562,185
2621,True,2.73699998856,4607,142
2463,True,4.53999996185,7123,150
2607,True,3.26799988747,5953,156
2407,True,3.77300000191,5830,160
2458,True,3.6210000515,6494,170
2399,True,5.04500007629,8967,198
2451,True,3.49399995804,6170,193
2413,True,3.24000000954,5594,179
2379,True,5.42600011826,9192,200
2446,True,3.65400004387,6315,166
2487,True,3.75699996948,6886,182
2441,True,4.31199979782,7376,185
2452,True,3.50099992752,5661,177
2486,True,5.48799991608,9312,189
2507,True,2.71800017357,4947,170
2474,True,4.28999996185,7200,165
2384,True,5.75600004196,9748,181
2521,True,3.51800012589,5550,158
2423,True,4.43600010872,6896,180
2404,True,3.46000003815,5697,191
2404,True,3.2990000248,5392,163
2444,True,5.13100004196,8324,207
2501,True,2.74799990654,4917,173
2411,True,4.46899986267,7169,178
2487,True,3.29500007629,5576,187
2525,True,3.45300006866,6206,188
2396,True,4.38800001144,6854,187
2457,True,3.5720000267,5982,173
2441,True,4.33899998665,7407,168
2426,True,3.81900000572,6201,179
2396,True,6.59099984169,9659,197
2507,True,4.67100000381,6016,180
2427,True,5.29100012779,7533,194
2441,True,5.02099990845,6579,195
