str(cost)+,+str(overCapacity)+,+str(Elapsed)+,+str(itt)+,+str(reset)+
2482,14.4069135525,2.05599999428,7236,171
2432,18.2507743096,1.42300009727,4913,179
2471,44.0034991084,1.86999988556,6937,167
2430,46.9964307898,2.29799985886,8599,168
2405,10.0537513628,1.67600011826,5910,179
2645,12.6504239906,0.896000146866,3361,154
2480,21.1967842499,2.41900014877,8538,162
2615,39.4727158506,1.04600000381,3798,158
2567,27.859694326,1.49900007248,5535,164
2483,14.8462586103,1.24799990654,4384,174
2539,22.7908688897,1.79799985886,6596,180
2450,10.3963939933,2.71900010109,9614,204
2455,23.1102757467,1.96500015259,7086,165
2448,35.3169564518,1.39600014687,5213,162
2427,8.51114390824,2.07399988174,7139,185
2415,1.73302768168,1.83299994469,6196,200
2392,7.43937008419,2.42500019073,8065,193
2419,5.04273132374,2.16199994087,7338,190
2429,0,2.132999897,7286,198
2429,3.09400237954,1.86199998856,6529,172
2468,30.0819223416,1.74699997902,6653,160
2564,35.0596878817,1.59900021553,6158,154
2512,16.0460048382,1.15499997139,4059,176
2607,47.9005995623,1.35399985313,5034,144
2421,23.4384316227,2.44599986076,8661,195
2499,15.978053044,1.30399990082,4720,171
2434,13.8188334217,2.30500006676,8126,187
2514,35.2173727861,1.42000007629,5237,162
2527,25.9905907426,1.42300009727,5093,157
2381,15.2001253946,2.04600000381,7357,192
2380,0,2.65499997139,8735,180
2587,35.8381449238,0.850999832153,3172,146
2436,5.62333166308,1.73699998856,5902,180
2389,3.80980305439,2.617000103,9095,178
2530,17.8849036107,1.68400001526,6119,156
2417,10.2952863962,2.26399993896,7818,191
2478,20.6056629362,1.59899997711,5657,167
2408,51.0192824123,2.03299999237,7190,213
2426,14.3748464939,1.59099984169,5688,173
2527,35.9759873579,1.47799992561,5479,164
2605,29.5107820173,1.51800012589,5601,158
2388,40.7636910592,1.7429997921,6246,197
2521,31.5058636856,1.14499998093,4196,151
2459,7.1713195834,1.58200001717,5510,166
2568,42.1780937661,2.18000006676,8299,178
2365,29.6891786411,2.03399991989,7254,186
2487,3.04411476844,2.63300013542,9162,198
2471,11.7064286632,1.36599993706,4644,164
2401,18.7233734811,2.95700001717,10030,179
2432,5.52314759898,2.38099980354,8312,181
2607,16.6585411042,0.93700003624,3469,162
2423,31.3374730283,1.83200001717,6564,192
2415,24.3413120629,2.36999988556,8530,193
2405,0.503991893933,3.492000103,11875,213
2500,19.6661908363,1.80100011826,6311,200
2442,13.7167807114,1.76399993896,6227,202
2381,0,2.31900000572,8031,183
2407,12.6114788828,2.39599990845,8598,205
2421,13.2976353232,2.65700006485,9165,210
2469,21.6594296327,2.16899991035,7922,161
2446,16.8481237394,1.68799996376,5989,153
2428,10.3687838795,1.99500012398,6882,194
2519,41.3438283871,1.5720000267,5792,199
