Cost,Reset,Iterations,Solved,TimeInHC
3833.3,67.47,7364.56,0,1.73097001076
3718.53,72.94,8334.36,0,1.96726998568
3562.79,79.39,8142.89,0,1.91919002056
3281.43,97.48,9384.61,2,2.22232000351
3010.72,112.04,10506.17,4,2.54277000904
2885.8,120.82,10881.1,18,2.64987998724
2717.78,130.67,11291.23,34,2.755329988
2562.76,142.07,11550.66,55,2.83635999918
2402.21,153.49,11785.88,81,3.03623001099
2334.04,160.28,12196.54,89,3.11389998436
2295.05,163.63,11942.76,95,3.3110699892
2267.28,164.99,11516.77,98,3.21316000223
