Cost,Reset,Iterations,Solved,TimeInHC
3239.03,109.61,6440.29,3,1.67076000452
3116.15,115.63,6760.1,6,1.77226000547
3113.0,119.64,7041.29,6,1.85191998959
2991.03,127.49,7135.55,9,1.89087999821
2924.16,129.58,6984.46,5,1.86051000595
2681.87,144.53,7393.1,22,2.00594998837
2672.9,144.58,7329.47,25,2.11998000383
2568.2,149.69,7281.53,35,2.02571999311
2490.15,156.83,7608.19,43,2.23299000025
2496.61,158.86,7505.86,43,2.33873999119
2360.14,169.83,8063.83,59,2.52980999231
2393.5,167.45,7810.2,60,2.33314998627
2235.3,177.31,7985.85,73,2.32440000296
