Cost;Reset;Iterations;TimeInHC;Solved;;dev;batterycap
4479.37;69.53;4920.07;0.8847900033;0;;5;1500.75
4411.15;71.93;4842.3;0.862119991779;0;;5;1501.5
4465.03;69.7;4827.18;0.870279984474;0;;5;1502.25
4434.55;76.88;5080.61;0.921820001602;0;;5;1503.0
4389.58;78.18;5034.75;0.91870998621;0;;5;1503.75
4360.8;82.75;5047.54;0.928079991341;0;;5;1504.5
4207.5;93.09;5461.8;100.637.000.084;5;;5;1505.25
4144.71;94.89;5409.95;104.299.999.952;5;;5;1506.0
4215.43;92.14;5569.07;104.816.000.462;3;;5;1506.75
4086.07;97.64;5609.85;118.742.999.077;11;;5;1507.5
3988.32;109.02;5869.57;114.438.001.633;16;;5;1508.25
3939.43;111.31;5862.99;114.105.998.993;12;;5;1509.0
3865.17;118.43;6050.8;119.632.000.208;21;;5;1509.75
3880.24;117.41;5911.85;116.625.001.431;28;;5;1510.5
3832.79;122.42;6141.72;123.233.999.729;32;;5;1511.25
3773.84;126.07;5991.1;120.693.001.986;37;;5;1512.0
3711.55;127.59;6060.97;123.446.001.768;48;;5;1512.75
3679.49;132.33;6201.07;127.361.999.035;57;;5;1513.5
3657.0;134.02;6027.99;125.061.999.559;64;;5;1514.25
3663.18;137.23;6359.56;132.004.999.399;66;;5;1515.0
3545.97;144.71;6155.41;129.440.001.249;84;;5;1515.75
3616.68;141.53;6304.89;133.160.999.537;76;;5;1516.5
3544.4;147.03;6546.17;137.729.998.827;84;;5;1517.25
3522.16;146.6;6311.04;134.992.000.341;89;;5;1518.0
3550.6;145.85;6173.41;131.621.999.025;89;;5;1518.75
3523.6;146.04;6400.03;136.269.000.053;89;;5;1519.5
3508.53;149.65;6154.27;132.046.998.978;96;;5;1520.25
3510.5;147.5;6111.11;131.722.001.314;96;;5;1521.0
3517.78;147.27;6012.39;130.115.999.699;96;;5;1521.75
4454.32;68.92;5912.32;102.039.999.008;0;;15;1500.75
4465.21;67.27;5479.1;0.946610014439;0;;15;1501.5
4439.93;70.29;5690.81;10.503.999.877;0;;15;1502.25
4411.95;75.06;5779.0;107.852.996.588;0;;15;1503.0
4330.07;80.63;6052.04;113.650.998.831;0;;15;1503.75
4171.01;90.19;6465.1;114.309.999.228;1;;15;1504.5
4185.44;88.59;6186.96;109.548.999.786;1;;15;1505.25
4071.4;95.61;6614.36;119.131.999.016;0;;15;1506.0
4035.38;100.09;6533.37;119.291.000.605;5;;15;1506.75
3939.84;109.89;7137.65;14.404.799.962;11;;15;1507.5
3848.56;118.54;7236.74;135.941.000.223;20;;15;1508.25
3712.29;124.3;7645.12;143.325.000.763;38;;15;1509.0
3721.39;129.19;7516.88;142.067.000.628;56;;15;1509.75
3612.95;136.17;7880.62;150.285.000.086;73;;15;1510.5
3594.3;138.97;7690.99;147.971.000.433;85;;15;1511.25
3599.37;139.76;7670.31;148.534.000.635;84;;15;1512.0
3546.4;139.91;7523.2;146.504.998.684;95;;15;1512.75
3548.29;143.47;7196.9;141.166.999.102;93;;15;1513.5
3537.15;145.11;7492.06;147.227.001.429;99;;15;1514.25
3539.12;142.18;7055.49;139.881.999.731;99;;15;1515.0
3538.77;143.63;7186.49;142.395.999.908;98;;15;1515.75
3536.91;143.22;7218.23;143.233.000.755;99;;15;1516.5
3528.06;144.96;7156.36;142.638.999.939;99;;15;1517.25
3539.25;144.84;7150.26;142.163.000.822;100;;15;1518.0
3532.09;145.14;7025.72;140.535.999.775;100;;15;1518.75
3525.87;145.41;6896.24;13.861.300.087;100;;15;1519.5
3526.41;145.73;6835.38;137.564.000.607;100;;15;1520.25
3525.48;145.04;6743.92;136.328.000.307;100;;15;1521.0
3524.3;144.86;6830.39;137.364.999.056;100;;15;1521.75
4576.95;61.21;6264.76;10.644.299.984;0;;25;1500.75
4453.04;67.86;6661.9;118.393.998.861;0;;25;1501.5
4384.49;71.85;6989.57;122.281.001.806;0;;25;1502.25
4377.11;75.11;6986.36;122.275.999.069;0;;25;1503.0
4264.85;81.22;7099.24;124.620.997.906;2;;25;1503.75
4078.13;95.5;8029.39;139.748.000.622;3;;25;1504.5
4065.47;98.92;8175.34;142.897.999.763;7;;25;1505.25
3950.4;107.57;8795.21;15.477.899.909;13;;25;1506.0
3830.25;118.8;9045.66;779.187.799.954;44;;25;1506.75
3710.44;125.06;9260.51;174.476.999.998;65;;25;1507.5
3693.11;126.07;8754.53;16.128.799.963;72;;25;1508.25
3664.44;132.11;8969.04;165.791.001.081;80;;25;1509.0
3615.22;134.13;8635.14;160.415.000.677;88;;25;1509.75
3584.16;137.67;8695.44;161.581.999.302;96;;25;1510.5
3580.52;139.63;8609.47;161.180.998.564;97;;25;1511.25
3562.33;139.21;8241.14;154.648.999.453;100;;25;1512.0
3574.65;136.73;8002.83;150.907.000.542;98;;25;1512.75
3564.58;141.07;8258.83;156.678.999.186;99;;25;1513.5
3554.56;139.54;8159.97;155.575.998.306;100;;25;1514.25
3552.94;142.24;8147.06;155.635.000.706;100;;25;1515.0
3561.66;141.84;7768.2;148.789.000.273;100;;25;1515.75
3553.13;140.73;7666.57;147.707.998.037;100;;25;1516.5
3541.62;142.69;7771.43;150.175.998.926;100;;25;1517.25
3557.26;139.36;7386.91;143.167.999.983;100;;25;1518.0
3543.63;140.52;7678.1;149.533.000.946;100;;25;1518.75
3542.99;145.53;7487.88;145.813.999.414;100;;25;1519.5
3539.53;143.44;7485.89;146.356.999.159;100;;25;1520.25
3548.33;141.35;7356.0;143.829.000.473;100;;25;1521.0
3535.8;143.78;7933.31;156.306.999.445;100;;25;1521.75
4638.17;55.01;6316.66;107.189.000.368;0;;35;1500.75
4587.36;61.37;6524.6;11.119.500.041;0;;35;1501.5
4448.69;70.86;7692.56;149.258.998.394;0;;35;1502.25
4245.5;82.43;8737.79;15.865.299.964;1;;35;1503.0
4085.6;91.88;9563.18;165.306.001.186;15;;35;1503.75
4005.09;98.83;9622.71;165.536.998.749;27;;35;1504.5
3908.45;108.33;10217.47;177.883.001.328;58;;35;1505.25
3782.05;118.44;10613.85;185.926.999.331;71;;35;1506.0
3729.29;122.63;9954.62;188.368.999.004;84;;35;1506.75
3685.94;127.8;10084.41;205.688.999.176;90;;35;1507.5
3674.39;126.5;9784.47;17.632.600.069;94;;35;1508.25
3620.13;131.75;9592.99;174.093.998.432;98;;35;1509.0
3617.23;133.21;9791.62;177.927.999.258;97;;35;1509.75
3600.8;133.41;9231.39;169.352.000.237;99;;35;1510.5
3599.84;134.71;9253.17;169.085.999.489;98;;35;1511.25
3607.66;135.5;9101.36;167.851.998.568;98;;35;1512.0
3600.06;133.02;8694.85;160.360.000.849;99;;35;1512.75
3567.99;137.98;9002.33;16.720.800.066;100;;35;1513.5
3576.14;138.82;8705.29;161.700.000.048;100;;35;1514.25
3565.32;140.33;8798.14;164.441.999.435;100;;35;1515.0
3567.45;141.13;8635.32;162.087.001.085;100;;35;1515.75
3562.36;138.5;8117.76;152.324.001.551;100;;35;1516.5
3574.07;139.1;8212.32;154.563.000.917;100;;35;1517.25
3558.78;140.43;8204.89;154.967.999.458;100;;35;1518.0
3570.82;138.03;7785.44;148.032.000.065;100;;35;1518.75
3559.94;140.75;7742.12;147.428.999.186;100;;35;1519.5
3561.51;139.55;8278.07;158.335.000.515;100;;35;1520.25
3568.59;139.34;7548.41;144.015.000.343;100;;35;1521.0
3546.34;141.33;7744.35;149.507.000.923;100;;35;1521.75
4691.44;52.24;5902.2;0.998880002499;1;;45;1500.75
4555.74;60.52;7263.86;123.968.000.174;5;;45;1501.5
4334.14;73.99;8569.62;153.640.999.556;24;;45;1502.25
4183.41;84.36;9757.98;169.237.000.942;43;;45;1503.0
4051.53;96.57;10858.65;186.248.000.622;63;;45;1503.75
3919.97;104.85;10207.89;175.999.999.046;75;;45;1504.5
3804.5;113.48;11117.77;191.654.000.282;87;;45;1505.25
3775.64;117.09;10527.62;18.429.899.931;91;;45;1506.0
3763.21;118.58;10792.11;208.144.001.484;91;;45;1506.75
3725.83;122.1;10558.74;326.977.999.926;94;;45;1507.5
3683.32;128.14;10648.42;189.476.000.786;97;;45;1508.25
3644.88;129.54;10787.18;192.944.998.741;99;;45;1509.0
3658.06;128.9;9871.8;176.923.001.051;98;;45;1509.75
3638.37;130.53;9922.29;177.997.998.714;100;;45;1510.5
3635.0;130.34;9570.29;173.415.999.413;100;;45;1511.25
3646.82;131.08;9604.93;173.965.999.842;96;;45;1512.0
3615.06;135.3;9426.78;171.269.999.266;99;;45;1512.75
3596.78;135.16;9312.26;170.367.001.295;100;;45;1513.5
3604.27;137.0;9043.12;166.167.001.009;100;;45;1514.25
3591.45;136.31;9037.13;166.169.000.387;100;;45;1515.0
3605.28;134.76;8885.58;163.745.999.098;98;;45;1515.75
3589.28;136.54;8968.93;166.514.999.151;100;;45;1516.5
3581.21;138.73;8582.56;159.047.999.382;100;;45;1517.25
3585.6;136.1;8611.7;159.961.999.655;100;;45;1518.0
3582.04;137.98;8703.13;162.151.000.261;100;;45;1518.75
3574.99;137.2;8275.24;155.071.000.576;100;;45;1519.5
3572.5;137.48;8592.48;162.446.999.788;100;;45;1520.25
3582.62;137.03;8546.53;160.632.999.659;99;;45;1521.0
3556.36;138.57;8416.38;159.577.998.877;100;;45;1521.75
