Cost,Reset,Iterations,Solved,TimeInHC
3643.29,77.39,5674.45,0,1.023160007
3612.26,77.75,6660.21,0,1.17248000145
3718.56,64.86,6900.32,0,1.1930700016
3873.39,53.14,6131.81,0,1.05224000454
3595.69,79.74,5677.47,0,1.02610000134
3584.36,80.18,6406.06,0,1.12534000397
3656.0,71.64,7865.81,0,1.35775000095
3685.22,64.98,7591.04,7,1.30812999964
3590.68,80.79,5597.84,0,1.01858000994
3442.75,87.98,7094.47,0,1.25398000002
3532.2,78.11,8419.28,0,1.45364999771
3362.68,87.01,10412.95,26,1.79213999271
3580.35,82.69,5393.94,1,0.983010003567
3450.81,87.65,7115.92,0,1.25777999163
3351.46,91.58,9094.02,0,1.58133000374
3200.93,100.28,11587.17,49,2.00479001284
3387.05,91.64,6027.64,2,1.11088999748
3394.75,89.87,6682.2,0,1.18613999367
3144.17,104.2,9912.43,3,1.73089999676
2984.11,114.4,12054.49,72,2.09444999456
3391.32,95.81,6153.84,1,1.13994999886
3228.51,103.1,7605.0,1,1.36266999483
3045.35,112.61,10279.17,15,1.79993000031
2901.6,123.15,12201.53,83,2.12704999447
3291.06,103.12,6171.19,2,1.15173000574
3234.09,104.43,7526.68,3,1.34934001207
2870.16,126.34,11050.21,29,1.95171000242
2806.88,129.27,12420.87,91,2.17328000307
3133.03,113.84,6638.69,4,1.25794999123
3115.6,113.89,8063.14,1,1.4541800189
2714.04,140.68,11852.08,66,2.10932000637
2712.52,138.4,12798.05,97,2.25260000467
3143.78,114.64,6705.0,7,1.27055000544
3024.57,121.49,8346.13,3,1.51843999386
2648.83,148.05,12268.69,64,2.19928998947
2661.72,143.32,12519.43,99,2.40159000158
2992.12,128.63,7017.94,8,1.58654000282
2836.21,132.67,8561.57,10,1.57415000439
2576.41,154.88,11482.01,91,2.07440999269
2645.41,146.27,12384.69,100,2.19584999323
3036.05,123.12,6781.28,8,1.30011999846
2713.6,144.6,9256.04,33,1.72224999428
2544.87,156.65,11239.53,94,2.04517000437
2624.08,146.84,12006.82,100,2.16480001926
2986.81,125.53,6602.43,13,1.32307999372
2640.65,152.4,9122.27,44,1.77370000601
2555.2,157.32,10638.52,96,2.01949000597
2594.99,149.88,12071.15,99,2.2278099966
2863.82,139.18,7219.46,25,1.51194000006
2525.52,163.35,9516.25,65,1.80381000996
2509.3,162.28,10960.65,98,2.13367000818
2572.44,152.24,11710.83,100,2.21399002075
2776.2,144.02,7569.6,31,1.65108999729
2510.58,164.18,9370.18,79,1.94664999723
2505.73,159.14,10384.97,100,2.0672900176
2564.63,154.78,11555.63,100,2.20992001295
2751.97,146.9,7349.29,32,1.54978999853
2454.3,167.44,9072.43,88,1.82668997526
2487.49,162.91,10530.91,100,2.0261500001
2562.79,157.09,11725.44,100,2.29930000544
2659.29,154.79,7635.03,44,1.68226000786
2443.33,171.99,9199.9,99,2.01835999012
2477.59,164.25,9928.01,100,2.07667999029
2530.06,156.89,11470.34,100,2.20146999359
2662.8,154.82,7663.43,45,1.71454999924
2442.26,171.56,8910.21,99,1.92546998978
2470.65,164.79,10368.94,100,2.07589000702
2540.91,157.2,10631.45,100,2.13853998661
2581.07,160.2,7533.09,56,1.70391000509
2423.75,172.98,8718.92,99,1.84936997652
2466.4,166.31,10045.49,100,2.06805998802
2508.66,161.8,11469.99,100,2.24704001188
2546.77,165.12,7476.0,62,1.67418999672
2423.24,173.1,8871.31,100,1.83859999418
2470.63,165.18,9811.12,100,2.08109999895
2499.23,163.88,11239.9,100,2.17916999817
2491.3,167.86,7575.1,72,1.72568998814
2412.51,173.21,9006.06,99,1.94949999809
2467.91,167.06,9427.88,100,2.14719998837
2503.57,159.07,10513.51,100,2.37535998821
2410.63,176.78,7948.64,87,1.95120999813
2424.13,172.31,8717.74,100,1.91723999262
2466.04,165.61,9419.61,100,2.10256998777
2514.31,162.92,10507.92,100,2.22886999607
2421.24,177.61,8045.95,88,1.77959998608
2415.62,173.18,8576.16,100,2.48453999281
2458.19,165.71,9217.34,100,2.1648099947
2502.22,160.93,10413.05,100,1.98190001965
2397.1,177.93,7674.35,90,1.78142999887
2411.09,174.45,8574.96,100,1.77562999725
2452.8,167.26,9200.43,100,1.91316000462
2488.67,163.09,10460.16,100,2.05150000811
2410.67,176.83,7792.52,90,1.7417800045
2411.96,173.93,8587.75,100,1.80169999361
2447.94,167.32,9077.4,100,1.87655998707
2484.74,163.12,10267.06,100,2.09709998608
