medianCap,meanCap,maxiCap,miniCap,devCap,mediancost,meancost,maxicost,minicost,devcost,solutions
635.6446951,637.04814,885.044603,129.1283307,81.82918884,5657,5662.945,6215,5093,182.1596524,0
396.2891033,402.7215922,660.5538167,161.9086103,83.71525674,5622,5622.3756,6048,5018,146.4206889,0
451.5066535,452.7771614,704.6017375,143.0176219,79.57717186,5695,5693.5328,6141,5229,165.7440874,0
397.5916824,394.5120026,631.04273,172.926611,81.80849536,5598,5607.8794,6082,5082,161.4901342,0
509.6512331,513.4700666,755.1142524,102.2786394,74.04998151,5735,5728.9684,6191,5259,150.4928351,0
214.6231791,221.5563827,536.2293498,0,76.23468061,5663,5670.9652,6273,5187,166.4747056,1
684.0429535,683.6492139,887.231024,102.0450112,76.64915337,5631,5628.2424,6053,5161,153.6847359,0
919.9891453,923.3586688,1231.470567,546.3113068,83.85096019,5559,5559.1912,5983,5089,150.6984971,0
435.3389709,434.8060649,687.732495,0,81.78176475,5641,5637.9782,6293,5097,167.2859573,1
473.0013174,477.8920994,751.6208877,223.7560253,82.43097052,5611,5611.1442,6091,5041,153.5365012,0
668.1595657,665.7921236,903.8750197,0,82.40694998,5629,5635.365,6273,5145,180.7454098,2
645.441549,645.074642,945.603274,51.27459384,72.37351845,5719,5717.5924,6261,5155,173.7766068,0
286.0065755,293.3147816,557.1314407,63.38215377,83.20596307,5626,5633.8018,6164,5136,167.6633947,0
510.9479221,509.3964084,783.6411402,275.4032975,77.73711366,5673,5673.5958,6305,5089,159.6671157,0
508.162433,509.603905,785.8045997,0,75.50884684,5622,5620.3668,6256,4946,170.1215303,1
576.7567112,575.8473163,861.572215,141.4470094,90.76680901,5573,5575.6268,6019,5087,151.2119437,0
423.218056,427.0880763,684.2929084,36.04427358,80.10238211,5602,5609.2518,6070,5094,163.1437421,0
892.8341858,896.5516099,1152.692585,510.8236383,87.26179914,5635,5634.1618,6185,5069,176.964596,0
548.3582373,549.1478276,779.9565205,0,80.9493737,5685,5687.6,6185,5095,174.1314056,1
591.6582213,589.5280822,879.232201,362.8392777,79.43446592,5693,5698.6342,6393,5059,180.5855725,0
823.1770331,823.8271925,1062.830661,498.465384,71.39126399,5541,5541.2844,6015,5135,146.0218638,0
457.6056366,461.5478188,713.9044434,211.3597102,77.25858456,5648,5653.29,6160,5170,155.0174052,0
1041.591081,1043.007141,1281.737148,409.5946172,86.94213839,5655,5653.3414,6177,5071,185.036824,0
585.0030365,586.834201,867.496304,339.8334936,82.55567138,5708,5699.5616,6348,5102,200.6924508,0
350.5021573,351.6906875,577.3785937,33.95380453,74.81606249,5646,5643.5746,6236,5126,170.8097053,0
621.1089361,623.7973943,922.106778,49.72314641,82.18790186,5754,5745.0864,6322,5206,194.1338851,0
219.0196013,218.6928621,441.2303999,13.40281554,67.92204495,5623,5625.9738,6101,5195,163.9483727,0
417.2539617,421.8970084,674.238478,69.729548,76.8215441,5567,5567.7726,5923,5105,136.7033734,0
388.6756045,394.6050432,740.3345142,185.8024499,78.84535405,5732,5736.724,6318,5232,178.3838486,0
325.7780918,323.5247975,569.2306787,104.5155928,73.20030833,5592,5590.4648,6172,5034,172.4689095,0
382.5665576,380.3346539,602.6897841,0,75.46848077,5651,5647.1798,6167,5117,155.6809766,1
205.3234791,207.5665521,463.3022172,15.91354482,58.28242917,5660,5653.642,6174,5042,162.5878908,0
457.6462116,457.9795677,707.7113487,196.8460478,80.9075959,5669,5660.742,6203,5083,189.478982,0
456.3714046,462.8281295,747.4119964,0,78.3755571,5643,5644.3004,6106,5112,149.2581152,1
799.6470914,800.4670916,1021.595353,247.2916398,75.71771593,5711,5703.74,6235,5147,180.2853483,0
233.6101034,237.8689567,460.0572037,30.63920622,69.69766966,5698,5693.0008,6240,5114,181.1463806,0
773.2276302,776.7495257,1090.060653,356.5039588,82.43614449,5696,5706.1806,6302,5254,167.4790655,0
294.9391826,294.3314473,490.196936,49.72199288,70.437996,5693,5698.8152,6139,5157,152.7302676,0
440.2768287,441.1241783,687.9825654,163.8839621,82.55935516,5698,5692.7702,6350,4944,196.0348234,0
175.358701,184.6846436,453.3265388,3.946063131,73.57848787,5699,5694.2466,6187,5107,174.3238205,0
372.9484258,373.939149,583.986756,184.8367407,66.87468879,5723,5718.9412,6241,5169,189.3099103,0
897.6787137,894.3565747,1162.133636,636.3244966,83.46736357,5652,5640.516,6416,4998,208.1817882,0
688.5217774,690.693524,985.34581,452.0309955,81.47284789,5517,5517.9052,5965,4965,149.796982,0
728.535964,726.0984743,978.7298312,332.6029374,83.13377697,5645,5642.464,6217,5173,167.470587,0
210.0195436,211.503077,424.5790944,0,68.53387763,5634,5633.8686,6052,5118,149.6537468,1
393.7737148,394.4789345,741.4166944,132.4355974,86.01417306,5660,5653.8204,6159,5107,166.8237697,0
364.3043877,364.8432091,639.6320727,115.2482222,75.10595676,5602,5597.4652,6120,5110,150.4641312,0
538.1327853,538.7941322,872.0671623,0,94.69547888,5618,5612.1624,6324,4986,187.3914833,1
457.1514369,456.8785094,679.1934669,244.5945628,76.24221856,5671,5682.2358,6125,5175,152.199636,0
455.9016764,455.7902469,699.1123665,216.6319069,72.36712952,5612,5603.646,6096,4964,164.0900518,0
582.2935866,581.6870411,793.0189273,333.9635725,75.77616853,5615,5611.7552,6127,5065,176.2827254,0
394.5904856,392.2310951,664.2726208,121.7323496,81.1952556,5657,5658.843,6311,5121,174.7977155,0
364.8600269,364.62739,655.4928387,0,81.49058533,5661,5655.1388,6169,5075,177.1703043,1
618.1016752,622.6940538,916.3457629,0,89.53768396,5638,5637.1342,6256,4962,194.0335218,1
354.8063004,357.3648616,618.6109291,111.606087,72.8235528,5703,5697.2854,6237,5205,163.075047,0
704.1972016,703.222893,1016.450939,0,83.77884258,5678,5672.325,6228,5082,180.10943,2
668.628917,661.6420504,909.1078686,378.0989821,85.22235092,5650,5647.0272,6120,5116,154.9996802,0
519.9551001,523.9977584,835.4985812,0,86.79865027,5692,5685.7828,6132,5112,164.6366327,1
351.0742059,352.4870352,645.8990853,116.0546203,79.87736924,5636,5632.9002,6146,4974,171.9243335,0
683.8301268,682.9285515,928.138157,41.72553622,77.09649198,5738,5735.1366,6249,5139,169.7686689,0
487.42121,487.5871263,762.2283192,124.0142673,76.62600574,5600,5601.026,6132,5040,151.0093299,0
418.458536,417.6543735,671.8649107,26.27877998,74.96252049,5606,5615.8778,6256,5010,170.699736,0
434.9122611,436.4019051,716.7904567,182.7475931,83.44488444,5658,5665.4712,6248,5122,181.6852475,0
508.154535,512.8305442,772.2158506,164.0732928,79.70924265,5591,5591.9758,6073,5017,167.1241126,0
612.0805443,611.0707957,900.2811222,342.5645499,85.69119668,5633,5636.793,6265,5075,164.9247148,0
616.2271738,622.8354683,915.6200174,406.6840197,74.62597685,5595,5594.7278,6221,5117,167.6381887,0
587.20751,584.9622972,822.9026306,226.6080771,75.3771263,5579,5576.2734,6149,5087,166.3637162,0
356.13257,347.1867585,570.4065364,0,86.30313994,5653,5661.504,6127,5133,161.7220022,2
444.3879524,442.1444612,694.7353004,162.4481698,74.11677325,5691,5697.8596,6247,5271,169.8276688,0
680.2291925,678.0209719,945.9235259,406.2873542,78.23175622,5788,5770.8548,6316,5136,186.5780172,0
476.5905764,476.6372271,717.5644759,261.1450325,65.42005675,5690,5696.3134,6354,5162,183.9719233,0
284.8650721,282.2888498,498.6340597,68.39038822,72.99011336,5617,5625.2838,6111,5111,170.4305696,0
457.4155488,460.1811169,690.1616767,264.3124638,67.62164288,5723,5714.3636,6283,5095,167.5204244,0
408.0560521,407.7079313,676.0257862,197.4978862,70.76107258,5615,5619.9704,6191,5131,172.1011723,0
402.0600577,401.8899877,673.0848512,0,77.74943816,5617,5622.1966,6187,5025,178.2405177,3
459.0269418,457.2815018,701.0101585,202.6497255,78.16662661,5681,5688.645,6183,5155,186.2442568,0
537.6421536,536.5762878,774.4428779,250.8428249,82.66334752,5613,5614.6788,6155,5071,188.0610178,0
245.5666164,245.8661138,468.9524612,44.16384701,68.28526283,5664,5665.1512,6210,5052,189.5215142,0
477.1295996,476.8697225,693.7445908,70.13513181,65.66719876,5687,5707.8128,6261,5215,181.5234733,0
711.5783396,711.094305,951.1816857,301.1436748,77.89661816,5635,5634.846,6127,5109,157.5352389,0
462.9342328,463.0023284,731.5076414,143.2816029,86.83306654,5691,5690.4268,6219,5197,160.0597671,0
572.968862,575.3681311,867.6002469,162.3676781,85.86097525,5656,5660.1584,6176,5096,174.9173602,0
462.9949225,468.8744242,736.6996855,0,80.07981349,5727,5711.4392,6311,4985,188.742597,1
341.5530158,341.340054,619.3370121,137.8070974,70.78049111,5714,5714.168,6298,5098,195.3882795,0
525.0668358,527.2799567,825.8953359,230.2303416,89.74291867,5730,5731.005,6374,5044,182.2066167,0
722.3096096,719.2868111,987.0103997,176.1737434,83.01639489,5639,5640.494,6135,4967,191.3440001,0
217.143305,221.0063439,486.8196509,24.1358378,69.9153024,5669,5673.5278,6275,5245,161.594461,0
555.6870997,552.6396309,783.3593572,33.10044018,62.4413853,5672,5672.9568,6220,5134,159.1045208,0
267.8727984,265.442442,481.7499399,4.593749622,71.58403003,5677,5676.5672,6245,5075,183.4832218,0
