conf,9,10,11,batterycost
0 | 0 | 5,24984.09,26854.1,28672.62,9000
0 | 2 | 4,24792.48,26480.2,28206.64,9900
0 | 4 | 3,24861.87,26323.5,27933.93,10800
0 | 6 | 2,24750.9,26141.4,27779.91,11700
0 | 8 | 1,24914.34,26276.8,27597.07,12600
0 | 10 | 0,25062.39,26398.1,27785.15,13500
2 | 1 | 4,25044.66,26656.1,28232.81,10350
2 | 3 | 3,24911.46,26482.4,27911.92,11250
2 | 5 | 2,25076.25,26340.9,27912.67,12150
2 | 7 | 1,24990.48,26408.4,27690.89,13050
2 | 9 | 0,25204.77,26430.0,27838.38,13950
4 | 0 | 4,25210.44,26511.2,28400.22,10800
4 | 2 | 3,25064.73,26427.2,27866.81,11700
4 | 4 | 2,25001.82,26444.4,27981.96,12600
4 | 6 | 1,25216.47,26503.5,27653.81,13500
4 | 8 | 0,25444.8,26740.1,27831.55,14400
6 | 1 | 3,25066.98,26558.3,28088.23,12150
6 | 3 | 2,25168.5,26487.2,27897.14,13050
6 | 5 | 1,25307.46,26583.7,27962.02,13950
6 | 7 | 0,25609.59,26677.2,27998.74,14850
8 | 0 | 3,25224.12,26624.7,27956.22,12600
8 | 2 | 2,25264.89,26607.6,27918.25,13500
8 | 4 | 1,25509.15,26652.9,27920.1,14400
8 | 6 | 0,25667.1,26747.2,28073.09,15300
10 | 1 | 2,25427.79,26684.0,27815.28,13950
10 | 3 | 1,25586.64,26730.6,28081.68,14850
10 | 5 | 0,25878.15,27040.1,28046.02,15750
12 | 0 | 2,25536.51,26651.6,28035.27,14400
12 | 2 | 1,25897.68,26985.1,28074.3,15300
12 | 4 | 0,25980.48,27254.3,28221.35,16200
14 | 1 | 1,25999.74,27132.3,28207.17,15750
14 | 3 | 0,26264.52,27373.6,28426.16,16650
16 | 0 | 1,26116.38,27231.2,28270.19,16200
16 | 2 | 0,26406.45,27321.1,28462.34,17100
18 | 1 | 0,26586.99,27588.1,28562.1,17550
20 | 0 | 0,26760.69,27564.0,28600.15,18000
