conf,9,10,batterycost
0 | 0 | 5,25124.58,26991.6,9000
0 | 2 | 4,25028.46,26746.2,9900
0 | 4 | 3,24890.85,26436.1,10800
0 | 6 | 2,24814.26,26316.5,11700
0 | 8 | 1,24965.64,26310.0,12600
0 | 10 | 0,25166.43,26484.6,13500
2 | 1 | 4,25093.44,26788.1,10350
2 | 3 | 3,25010.64,26594.6,11250
2 | 5 | 2,25023.42,26381.7,12150
2 | 7 | 1,25090.38,26480.5,13050
2 | 9 | 0,25282.53,26539.8,13950
4 | 0 | 4,25269.3,26817.6,10800
4 | 2 | 3,25128.63,26629.4,11700
4 | 4 | 2,25071.75,26450.2,12600
4 | 6 | 1,25203.33,26652.5,13500
4 | 8 | 0,25295.76,26659.1,14400
6 | 1 | 3,25221.06,26574.1,12150
6 | 3 | 2,25099.56,26446.8,13050
6 | 5 | 1,25234.47,26585.8,13950
6 | 7 | 0,25560.36,26760.9,14850
8 | 0 | 3,25360.56,26687.9,12600
8 | 2 | 2,25432.92,26573.4,13500
8 | 4 | 1,25378.2,26558.9,14400
8 | 6 | 0,25724.34,26813.2,15300
10 | 1 | 2,25445.16,26669.7,13950
10 | 3 | 1,25549.38,26696.7,14850
10 | 5 | 0,25861.41,26977.9,15750
12 | 0 | 2,25513.56,26619.6,14400
12 | 2 | 1,25566.3,26831.8,15300
12 | 4 | 0,26018.82,27110.2,16200
14 | 1 | 1,25809.75,26881.6,15750
14 | 3 | 0,26163.09,27145.5,16650
16 | 0 | 1,25890.39,26948.2,16200
16 | 2 | 0,26204.85,27277.5,17100
18 | 1 | 0,26487.36,27421.2,17550
20 | 0 | 0,26646.66,27654.2,18000
