conf,9,10,batterycost
0 | 0 | 6,25553.52,27213.1,10800
0 | 2 | 5,25528.86,27081.7,11700
0 | 4 | 4,25584.75,27088.9,12600
0 | 6 | 3,25815.78,27134.7,13500
0 | 8 | 2,26056.62,27409.6,14400
0 | 10 | 1,26435.16,27648.0,15300
0 | 12 | 0,26834.67,28016.1,16200
2 | 1 | 5,25690.5,27213.0,12150
2 | 3 | 4,25686.36,27242.9,13050
2 | 5 | 3,25888.59,27210.9,13950
2 | 7 | 2,26233.38,27496.8,14850
2 | 9 | 1,26540.55,27664.3,15750
2 | 11 | 0,26998.11,28057.9,16650
4 | 0 | 5,25716.69,27176.4,12600
4 | 2 | 4,25840.35,27202.3,13500
4 | 4 | 3,26019.36,27228.8,14400
4 | 6 | 2,26220.96,27474.8,15300
4 | 8 | 1,26716.32,27813.2,16200
4 | 10 | 0,27190.35,28229.5,17100
6 | 1 | 4,25919.46,27318.9,13950
6 | 3 | 3,26037.45,27407.2,14850
6 | 5 | 2,26325.45,27564.4,15750
6 | 7 | 1,26867.07,27969.1,16650
6 | 9 | 0,27325.17,28397.9,17550
8 | 0 | 4,26087.49,27377.9,14400
8 | 2 | 3,26262.36,27505.6,15300
8 | 4 | 2,26569.71,27733.2,16200
8 | 6 | 1,26946.72,28047.6,17100
8 | 8 | 0,27573.3,28555.5,18000
10 | 1 | 3,26266.95,27494.3,15750
10 | 3 | 2,26680.77,27878.0,16650
10 | 5 | 1,27133.74,28223.0,17550
10 | 7 | 0,27686.07,28708.3,18450
12 | 0 | 3,26417.52,27669.6,16200
12 | 2 | 2,26872.11,27954.4,17100
12 | 4 | 1,27284.49,28368.2,18000
12 | 6 | 0,27945.27,28857.7,18900
14 | 1 | 2,27043.2,28045.9,17550
14 | 3 | 1,27564.3,28555.8,18450
14 | 5 | 0,28125.36,29137.5,19350
16 | 0 | 2,27207.09,28236.7,18000
16 | 2 | 1,27646.29,28707.2,18900
16 | 4 | 0,28392.12,29269.3,19800
18 | 1 | 1,28000.89,28890.2,19350
18 | 3 | 0,28593.09,29538.6,20250
20 | 0 | 1,28180.26,29118.7,19800
20 | 2 | 0,28948.59,29781.7,20700
22 | 1 | 0,29132.28,29991.2,21150
24 | 0 | 0,29444.94,30385.2,21600
