x,y,out
21,18,51.9441162901
47,50,47.8208739668
25,31,51.8124138835
27,38,53.1177725277
30,13,54.1467651645
48,4,45.2427201824
32,18,46.7403937509
49,15,54.7539876823
3,9,47.7219657521
46,40,51.8689131568
3,25,46.8033197969
1,32,54.9973064602
32,3,47.0403701371
32,49,50.2543255579
30,14,45.5459691248
39,34,49.9350653746
3,24,49.0786283468
43,45,54.1846908758
1,28,46.6308931272
15,0,48.4374050272
30,32,52.9258164132
18,10,53.9800923083
21,46,52.9114280225
21,33,46.7561373853
39,42,47.3491577341
17,21,46.2681235689
12,21,53.6336837329
17,34,52.9693843543
46,39,46.6096950948
33,35,45.8409479133
43,41,51.9537360882
15,36,54.3084940493
18,24,54.2211501984
16,37,52.5854740399
47,35,46.9524009026
42,4,53.4615617655
3,33,49.7997420936
41,24,51.7527322544
4,48,48.2729767444
1,45,54.9135446238
27,10,50.041905022
28,48,54.2296602428
11,23,48.8581464085
1,48,54.5446142705
43,29,47.9458272133
38,3,49.8653574723
31,24,46.3865133345
25,29,53.3558572873
16,19,54.1698122356
45,31,48.0106571513
27,11,50.5535663169
46,48,47.3778838091
17,41,48.609185054
39,46,48.1424247372
14,6,49.7262900401
8,12,46.0163392471
0,19,51.0386736706
13,47,48.439548698
39,35,52.0929122998
25,13,45.5472390956
8,13,46.4674787696
33,31,48.2504358399
1,28,45.4018671906
39,25,49.9331133531
12,26,49.6523611452
6,41,46.0532210325
16,1,48.7084230761
20,11,48.5499721797
7,32,51.727178975
2,5,51.6264616252
41,36,52.7821004849
10,36,49.1373850695
4,2,52.7696174905
20,16,48.0219944025
31,8,45.78474275
24,50,52.9856639907
25,40,49.7977739571
48,28,47.9919855867
50,0,53.7160163586
30,7,45.2342212997
21,21,53.1598081163
20,10,50.3005170895
6,17,46.0191821179
30,45,50.8435769024
50,15,53.9536056915
16,16,53.3210513283
14,22,50.6391894546
11,37,52.2305100967
50,21,51.8263970274
9,11,52.8088528999
15,10,54.5300620495
6,22,46.5162758603
41,44,45.297022275
26,41,47.0913120318
15,15,45.3173365337
24,32,50.1654894943
41,12,52.3804009118
29,25,47.5804929741
39,27,52.054375253
50,35,54.1251511774
0,4,45.1695982246
45,2,53.4885544809
29,7,50.9104105556
10,24,53.7628557674
46,4,47.6825473021
17,12,45.6110452244
33,3,53.3512744957
36,14,51.5805712754
8,44,50.3025640729
48,47,53.2690488222
22,34,46.65187897
31,37,51.5432649701
19,47,50.3828929371
20,28,53.1233142329
20,5,48.3103549657
19,22,51.7962881341
6,43,53.9593678492
2,50,49.5276082783
8,20,46.1366211633
40,8,45.1755746282
34,47,51.5710491366
0,46,50.2020718724
37,21,54.7990422025
14,15,53.340583551
44,40,46.4381604829
0,24,48.7212569489
3,23,53.0872452487
17,37,53.6342960624
42,45,49.5460795373
9,40,54.568444545
37,5,47.9209715778
1,30,48.4371987491
10,3,50.7487824251
36,44,47.5633972917
6,0,47.778171512
30,5,45.251098767
3,16,53.5477354182
43,30,47.9767404244
2,35,52.5799514857
30,29,47.6700086208
29,16,48.9451872317
36,8,51.8387855768
25,39,47.7183973705
18,39,48.7443896221
4,35,48.2288109557
6,2,48.2352688238
14,18,51.0794611708
35,24,48.8280158765
20,41,46.2751042659
29,11,47.739443954
