Cost;Reset;Iterations;;TimeInHC;Dev;Batterycap;Solved
3787.1;71.16;5328.53;;0.96495000124;5;1500.75;0
3616.36;80.61;5771.98;;106.500.999.212;5;1501.5;0
3556.76;87.88;5868.31;;113.052.999.496;5;1502.25;0
3425.0;93.81;6407.37;;117.979.000.092;5;1503.0;0
3386.85;98.19;6235.23;;116.288.001.299;5;1503.75;1
3303.23;105.36;6336.23;;118.351.999.044;5;1504.5;1
3195.92;108.69;6491.34;;130.914.001.465;5;1505.25;3
3125.32;115.28;6632.13;;125.154.000.759;5;1506.0;4
3063.91;121.63;6983.38;;13.293.799.901;5;1506.75;7
2920.06;129.84;7369.44;;141.936.000.824;5;1507.5;12
2972.26;126.29;7009.74;;134.390.999.794;5;1508.25;13
2809.5;135.98;7401.85;;143.824.999.332;5;1509.0;14
2759.57;142.46;7774.58;;151.688.000.202;5;1509.75;18
2577.21;152.58;7530.42;;151.103.000.402;5;1510.5;35
2517.61;161.01;7789.94;;156.704.999.685;5;1511.25;44
2562.55;155.69;7587.24;;153.910.000.086;5;1512.0;36
2415.26;168.52;8019.46;;164.153.001.308;5;1512.75;54
2324.57;172.34;7870.2;;162.263.000.965;5;1513.5;71
2361.86;172.23;8110.16;;167.222.998.857;5;1514.25;62
2287.84;176.43;8053.55;;168.539.999.485;5;1515.0;76
2279.16;177.59;7855.77;;165.209.999.561;5;1515.75;76
2260.36;177.56;8036.68;;169.554.001.808;5;1516.5;85
2173.12;181.63;7978.72;;168.717.999.458;5;1517.25;92
2182.18;184.69;8051.84;;184.300.998.926;5;1518.0;92
2188.41;184.2;7898.65;;169.240.000.248;5;1518.75;91
2152.71;191.19;8316.36;;180.138.999.701;5;1519.5;96
2140.58;191.08;8366.51;;179.891.999.722;5;1520.25;97
2152.9;185.89;8109.21;;174.712.999.821;5;1521.0;96
2145.66;185.63;8084.67;;191.192.999.601;5;1521.75;98
3658.62;76.18;6592.11;;115.739.998.579;15;1500.75;0
3709.8;72.64;6172.37;;111.583.998.203;15;1501.5;0
3554.44;84.87;6640.31;;119.209.001.064;15;1502.25;0
3416.8;88.4;6905.45;;123.850.001.335;15;1503.0;0
3333.6;96.74;7212.61;;129.039.000.511;15;1503.75;0
