7.5,7.75,8.25,8.5,8.75
43,43,40,41,40,
32,31,27,29,26,
43,43,40,36,34,
40,40,39,37,36,
43,44,43,43,42,
36,34,34,33,33,
41,40,42,41,41,
29,29,28,27,26,
38,38,38,36,36,
25,23,22,22,20,
40,39,39,35,37,
32,34,34,33,33,
40,40,40,42,40,
29,26,27,27,26,
35,35,37,39,41,
23,22,21,21,20,
31,33,32,33,35,
17,17,16,15,15,
33,34,33,33,31,
25,26,26,26,26,
34,35,36,40,39,
20,20,20,19,20,
29,30,33,34,33,
14,15,15,14,15,
23,23,24,26,27,
11,11,10,10,10,
25,25,25,25,26,
17,18,18,17,19,
27,27,29,30,34,
13,13,12,12,12,
20,21,24,24,26,
9,9,9,8,9,
15,15,15,15,16,
6,6,6,6,6,
16,17,16,18,17,
10,10,10,10,11,
17,17,19,20,21,
7,7,7,7,7,
12,12,13,13,13,
4,4,4,4,4,
8,8,8,8,8,
2,2,2,2,2,
5,5,5,5,5,
3,3,3,3,3,
1,1,1,1,1,
0,0,0,0,0,
